"ano"	"volume"	"tomo"	"url"
"1971"	"058"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=058_2"
"1971"	"058"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=058_3"
"1972"	"059"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=059_1"
"1972"	"059"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=059_2"
"1972"	"059"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=059_3"
"1972"	"060"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=060_1"
"1972"	"060"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=060_2"
"1972"	"060"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=060_3"
"1972"	"061"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=061_1"
"1972"	"061"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=061_2"
"1972"	"061"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=061_3"
"1972"	"062"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=062_1"
"1972"	"062"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=062_2"
"1972"	"062"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=062_3"
"1973"	"063"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=063_1"
"1973"	"063"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=063_2"
"1973"	"063"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=063_3"
"1973"	"064"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=064_1"
"1973"	"064"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=064_2"
"1973"	"064"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=064_3"
"1973"	"065"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=065_1"
"1973"	"065"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=065_2"
"1973"	"065"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=065_3"
"1973"	"066"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=066_1"
"1973"	"066"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=066_2"
"1973"	"066"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=066_3"
"1974"	"067"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=067_1"
"1974"	"067"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=067_2"
"1974"	"067"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=067_3"
"1974"	"068"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=068_1"
"1974"	"068"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=068_2"
"1974"	"068"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=068_3"
"1974"	"069"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=069_1"
"1974"	"069"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=069_2"
"1974"	"069"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=069_3"
"1974"	"070"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=070_1"
"1974"	"070"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=070_2"
"1974"	"070"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=070_3"
"1975"	"071"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=071_1"
"1975"	"071"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=071_2"
"1975"	"071"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=071_3"
"1975"	"072"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=072_1"
"1975"	"072"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=072_2"
"1975"	"072"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=072_3"
"1975"	"073"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=073_1"
"1975"	"073"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=073_2"
"1975"	"073"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=073_3"
"1975"	"074"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=074_1"
"1975"	"074"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=074_2"
"1975"	"074"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=074_3"
"1976"	"075"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=075_1"
"1976"	"075"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=075_2"
"1976"	"075"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=075_3"
"1976"	"076"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=076_1"
"1976"	"076"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=076_2"
"1976"	"076"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=076_3"
"1976"	"077"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=077_1"
"1976"	"077"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=077_2"
"1976"	"077"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=077_3"
"1976"	"078"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=078_1"
"1976"	"078"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=078_2"
"1976"	"078"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=078_3"
"1977"	"079"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=079_1"
"1977"	"079"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=079_2"
"1977"	"079"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=079_3"
